Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
a,anybod*,hed,i,lets,thee,he,their*,anybod*,a,accepted,aint,accepted,admit,couldve,about,about,also,aint,all,billion*,arse,acquainta*,aunt*,acquainta*,adult,abandon*,accept,abandon*,snob*,abuse*,abandon*,abandon*,accept,activat*,besides,allot,absolute,abandon*,add,but,acid*,beaut*,audibl*,brush*,disease*,abdomen*,abortion*,abortion*,alcohol*,goes,act,above,abrupt*,absent*,abilit*,actor*,address,account*,afterlife*,autops*,absolutely,er,blah
about,anyone*,he'd,Id,let's,thine,hed,them,anyone*,alot,admit,ain't,admitted,admits,could've,absolutely,above,although,ain't,allot,dozen*,arsehole*,admit,bro,amigo*,adults,abuse*,accepta*,abuse*,sob,abusi*,ache*,absolute,accepta*,affect,could,almost,absolutely,abstain*,addit*,either,acrid*,black,audio*,caress*,dish,abs,ache*,aids,anorexi*,going,action*,across,after,academ*,able*,actress*,apartment*,atm,agnost*,alive,agree,hm*,idontknow
above,anything,her,I'd,our,thou,he'd,themselves,anything,an,admits,am,affected,aint,gonna,actually,across,and,arent,alot,eight*,arses,admits,bros,bf*,babe*,abusi*,accepted,abusi*,sobbed,aggravat*,aching,absolutely,accepted,affected,couldnt,alot,accura*,anal,along,except,aroma*,blacke*,boom*,cold*,dishes,anal,aching,arous*,appeti*,gone,advanc*,air,afterlife*,accomplish*,accomplish*,aerobic*,backyard,atms,alla,bereave*,ah,sigh,imean
absolutely,everybod*,hers,I'll,ours,thoust,her,they,everybod*,the,admitted,are,appeared,ain't,gotta,again,after,as,aren't,amount*,eleven,ass,admitted,brother*,boyf*,babies,accept,accepting,ache*,sobbing,aggress*,agoniz*,abstain*,accepting,affecting,couldn't,ambigu*,all,avert*,and,exclu*,audibl*,blackish*,choir*,cool*,dizz*,ankle*,acne,ass,ate,grew,appear,among*,aftermath*,achiev*,ace,amus*,bake*,auction*,allah*,burial*,alright*,uh,like
across,everyone*,herself,Im,ourselves,thy,hers,theyd,everyone*,,affected,arent,arrived,am,he'll,also,against,altho ,cannot,another,fift*,asses,admitting,cousin*,bud,baby*,accepta*,accepts,aching,sobs,agitat*,agony,accept,accepts,affects,couldve,any,altogether,avoid*,around,if,audio*,blacks,concert*,drie*,doctor*,anus*,addict*,asses,bake*,ground*,appeared,anywhere,afternoon*,administrat*,achiev*,apartment*,baking,audit,altar*,buried,aok,um,ohwell
actually,everything*,hes,I'm,us,ya,herself,they'd,everything*,,aint,aren't,asked,appear,I'll,anyway*,ahead,because,cant,any,first,asshole*,adult,dad*,buddies*,bambino*,accepted,active*,advers*,solemn*,anger*,alone,accepta*,acknowledg*,aggravat*,could've,anybod*,always,ban,both,just,beaut*,blind*,deaf*,drily,dosage,appendix,advil,bi,baking,grow,appearing,apart,afterthought*,advertising,acquir*,art,balcon*,audited,amen,bury,aw,umm*,rr*
after,hed,he's,ive,we,yall,hes,theyll,it,,ain't,be,ate,appears,itll,anywhere,along,but,can't,anymore,firstly,bastard*,adults,daughter*,buddy*,boy,accepting,admir*,afraid,sorrow*,angr*,broke,accepted,adjust*,allow*,desir*,anyhow,apparent,banned,came,not,bitter*,blond*,ear,dry*,dose*,arch,aids,boner*,bar,growing,appears,area*,afterward*,advis*,acquisition*,artist*,bath*,auditing,amish,casket*,awesome,well,yakno*
again,he'd,him,I've,we'd,y'all,he's,they'll,itd,,am,became,became,are,it'll,apparently,among*,cuz,couldnt,besides,firsts,bitch*,advice,ex,colleague*,boy's,accepts,ador*,aggravat*,sorry,annoy*,cried,accepting,admit,attribut*,expect*,anyone*,assur*,banning,close,or,black,blue*,ears,edge,dosing,arm,alcohol*,boob*,bars,grown,approach*,around,again,agent,adequa*,arts,bed,auditor,angel,casualt*,cool,zz*,ykn*
against,her,himself,me,we'll,ye,him,theyve,it'd,,appear,become,been,arent,may,around,around,how,couldn't,best ,five,bloody,advis*,exes,companion,boys*,ache*,advantag*,aggress*,spite*,antagoni*,cries,accepts,admits,based,hope,anything,blatant*,bans,come,rather,blacke*,bright*,harmon*,edges,dr,armpit*,alive,breast*,beer*,growth,arrival*,at,age,agents,advanc*,athletic*,bedding,auditors,angelic*,cemet*,duh,,youknow
ahead,hers,his,mine,we're,you,himself,they've,itll,,appeared,becomes,began,aren't,might,back,as,however,didnt,bit ,four*,boob*,affair*,exhubby*,companions,chick,aching,adventur*,agitat*,stammer*,argh*,crushed,accura*,admitted,bases,hoped,anytime,certain*,barrier*,each,really,blackish*,brown*,hear,edging,drank,arms*,allerg*,butt,binge*,hall,arrive,atop,aged,ambiti*,advantag*,ball,bedroom*,audits,angels,coffin*,ha,,
